ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP236.Mannitol.240.4,NREXP236,Mannitol,240,4,Block,-1.858885272,0.3391633218,-2.414764735,0.3495938833,0,0,0,4.3,-0.4886860551
NREXP236.Mannitol.240.4,NREXP236,Mannitol,240,4,Air_1,-1.431270269,0.2611427321,-1.771916058,0.2565264461,0,0,0,4.3,-0.0610710514
NREXP236.Mannitol.240.4,NREXP236,Mannitol,240,4,Air_2,-1.431270269,0.2611427321,-1.771916058,0.2565264461,0,0,0,4.3,-0.0610710514
NREXP236.Mannitol.240.4,NREXP236,Mannitol,240,4,Plate,-0.7593710594,0.1385512139,-0.9487457844,0.1373532246,37,8.604651163,1,4.3,0.6108281579
NREXP236.Mannitol.80.1,NREXP236,Mannitol,80,1,Block,-1.778538623,0.2108367683,-1.778538623,0.2108367683,28,5.384615385,0.3943661972,5.2,0.3303660962
NREXP236.Mannitol.80.1,NREXP236,Mannitol,80,1,Air_1,-2.622523184,0.3108868742,-2.622523184,0.3108868742,1,0.1923076923,0.0140845071,5.2,-0.513618465
NREXP236.Mannitol.80.1,NREXP236,Mannitol,80,1,Air_2,-2.622523184,0.3108868742,-2.622523184,0.3108868742,1,0.1923076923,0.0140845071,5.2,-0.513618465
NREXP236.Mannitol.80.1,NREXP236,Mannitol,80,1,Plate,-1.412033885,0.1673894833,-1.412033885,0.1673894833,41,7.884615385,0.5774647887,5.2,0.6968708338
NREXP236.Mannitol.80.2,NREXP236,Mannitol,80,2,Block,-1.510657238,0.2207273164,-1.270166575,0.235422887,16,3.902439024,0.3404255319,4.1,0.2003421781
NREXP236.Mannitol.80.2,NREXP236,Mannitol,80,2,Air_1,-2.094593963,0.3060483165,-1.610713436,0.2985425807,0,0,0,4.1,-0.3835945469
NREXP236.Mannitol.80.2,NREXP236,Mannitol,80,2,Air_2,-2.094593963,0.3060483165,-1.610713436,0.2985425807,0,0,0,4.1,-0.3835945469
NREXP236.Mannitol.80.2,NREXP236,Mannitol,80,2,Plate,-1.1441525,0.1671760507,-0.9036618377,0.1674919517,31,7.56097561,0.6595744681,4.1,0.5668469157
NREXP236.Mannitol.80.3,NREXP236,Mannitol,80,3,Block,-1.56959704,0.2163865376,-1.38143988,0.2610727919,16,3.636363636,0.4,4.4,0.2438210418
NREXP236.Mannitol.80.3,NREXP236,Mannitol,80,3,Air_1,-2.240491492,0.3088768546,-1.508595288,0.2851033834,0,0,0,4.4,-0.4270734106
NREXP236.Mannitol.80.3,NREXP236,Mannitol,80,3,Air_2,-2.240491492,0.3088768546,-1.508595288,0.2851033834,0,0,0,4.4,-0.4270734106
NREXP236.Mannitol.80.3,NREXP236,Mannitol,80,3,Plate,-1.203092302,0.1658597532,-0.8927668961,0.1687204413,24,5.454545455,0.6,4.4,0.6103257794
NREXP236.Mannitol.80.4,NREXP236,Mannitol,80,4,Block,-1.670938933,0.2141735351,-1.670938933,0.2141735351,9,1.914893617,0.2045454545,4.7,0.2795108882
NREXP236.Mannitol.80.4,NREXP236,Mannitol,80,4,Air_1,-2.413213079,0.3093149401,-2.413213079,0.3093149401,0,0,0,4.7,-0.4627632571
NREXP236.Mannitol.80.4,NREXP236,Mannitol,80,4,Air_2,-2.413213079,0.3093149401,-2.413213079,0.3093149401,0,0,0,4.7,-0.4627632571
NREXP236.Mannitol.80.4,NREXP236,Mannitol,80,4,Plate,-1.304434196,0.1671965848,-1.304434196,0.1671965848,35,7.446808511,0.7954545455,4.7,0.6460156259
NREXP240.Control.0.1,NREXP240,Control,0,1,Block,-1.174465655,0.1797406189,-1.174465655,0.1797406189,34,7.083333333,0.4594594595,4.8,0.4590906078
